Log created: 2026-01-12 04:38:38
Type: staging
[2026-01-12 04:40:06][notice]The next copying files starts from:16500
[2026-01-12 04:40:07][notice]The count of copied files: 500
[2026-01-12 04:40:07][notice]The next copying files starts from:17000
[2026-01-12 04:40:08][notice]The count of copied files: 500
[2026-01-12 04:40:08][notice]The next copying files starts from:17500
[2026-01-12 04:40:09][notice]The count of copied files: 500
[2026-01-12 04:40:09][notice]The next copying files starts from:18000
[2026-01-12 04:40:09][notice]The count of copied files: 500
[2026-01-12 04:40:09][notice]The next copying files starts from:18500
[2026-01-12 04:40:10][notice]The count of copied files: 500
[2026-01-12 04:40:10][notice]The next copying files starts from:19000
[2026-01-12 04:40:11][notice]The count of copied files: 500
[2026-01-12 04:40:11][notice]The next copying files starts from:19500
[2026-01-12 04:40:12][notice]The count of copied files: 500
[2026-01-12 04:40:12][notice]The next copying files starts from:20000
[2026-01-12 04:40:13][notice]The count of copied files: 500
[2026-01-12 04:40:13][notice]The next copying files starts from:20500
[2026-01-12 04:40:14][notice]The count of copied files: 500
[2026-01-12 04:40:14][notice]The next copying files starts from:21000
[2026-01-12 04:40:15][notice]The count of copied files: 500
[2026-01-12 04:40:15][notice]The next copying files starts from:21500
[2026-01-12 04:40:16][notice]The count of copied files: 500
[2026-01-12 04:40:16][notice]The next copying files starts from:22000
[2026-01-12 04:40:18][notice]The count of copied files: 500
[2026-01-12 04:40:18][notice]The next copying files starts from:22500
[2026-01-12 04:40:19][notice]The count of copied files: 500
[2026-01-12 04:40:19][notice]The next copying files starts from:23000
[2026-01-12 04:40:20][notice]The count of copied files: 500
[2026-01-12 04:40:20][notice]The next copying files starts from:23500
[2026-01-12 04:40:21][notice]The count of copied files: 500
[2026-01-12 04:40:21][notice]The next copying files starts from:24000
[2026-01-12 04:40:22][notice]The count of copied files: 500
[2026-01-12 04:40:22][notice]The next copying files starts from:24500
[2026-01-12 04:40:23][notice]The count of copied files: 500
[2026-01-12 04:40:23][notice]The next copying files starts from:25000
[2026-01-12 04:40:24][notice]The count of copied files: 500
[2026-01-12 04:40:24][notice]The next copying files starts from:25500
[2026-01-12 04:40:25][notice]The count of copied files: 500
[2026-01-12 04:40:25][notice]The next copying files starts from:26000
[2026-01-12 04:40:26][notice]The count of copied files: 500
[2026-01-12 04:40:26][notice]The next copying files starts from:26500
[2026-01-12 04:40:27][notice]The count of copied files: 500
[2026-01-12 04:40:27][notice]The next copying files starts from:27000
[2026-01-12 04:40:28][notice]The count of copied files: 500
[2026-01-12 04:40:28][notice]The next copying files starts from:27500
[2026-01-12 04:40:29][notice]The count of copied files: 500
[2026-01-12 04:40:29][notice]The next copying files starts from:28000
[2026-01-12 04:40:30][notice]The count of copied files: 500
[2026-01-12 04:40:30][notice]The next copying files starts from:28500
[2026-01-12 04:40:32][notice]The count of copied files: 500
[2026-01-12 04:40:32][notice]The next copying files starts from:29000
[2026-01-12 04:40:33][notice]The count of copied files: 500
[2026-01-12 04:40:33][notice]The next copying files starts from:29500
[2026-01-12 04:40:34][notice]The count of copied files: 500
[2026-01-12 04:40:34][notice]The next copying files starts from:30000
[2026-01-12 04:40:35][notice]The count of copied files: 500
[2026-01-12 04:40:35][notice]The next copying files starts from:30500
[2026-01-12 04:40:36][notice]The count of copied files: 500
[2026-01-12 04:40:36][notice]The next copying files starts from:31000
[2026-01-12 04:40:36][notice]The count of copied files: 500
[2026-01-12 04:40:36][notice]The next copying files starts from:31500
[2026-01-12 04:40:37][notice]The count of copied files: 500
[2026-01-12 04:40:37][notice]The next copying files starts from:32000
[2026-01-12 04:40:38][notice]The count of copied files: 500
[2026-01-12 04:40:38][notice]The next copying files starts from:32500
[2026-01-12 04:40:39][notice]The count of copied files: 500
[2026-01-12 04:40:39][notice]The next copying files starts from:33000
[2026-01-12 04:40:40][notice]The count of copied files: 500
[2026-01-12 04:40:40][notice]The next copying files starts from:33500
[2026-01-12 04:40:41][notice]The count of copied files: 500
[2026-01-12 04:40:41][notice]The next copying files starts from:34000
[2026-01-12 04:40:42][notice]The count of copied files: 500
